frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
377,1,-131.774,-17.4597,103.296,17,5,2,3,0,0,0
378,1,-141.052,-17.7421,103.756,17,4,2,2,0,0,0
379,0,-141.052,-17.7421,103.756,20,5,2,3,0,0,0
380,0,-141.052,-17.7421,103.756,16,4,2,2,0,0,0
381,0,-141.052,-17.7421,103.756,15,4,2,2,0,0,0
382,0,-141.052,-17.7421,103.756,15,6,2,4,0,0,0
383,0,-141.052,-17.7421,103.756,17,5,2,3,0,0,0
384,0,-141.052,-17.7421,103.756,16,4,2,2,0,0,0
385,0,-141.052,-17.7421,103.756,17,5,2,3,0,0,0
386,0,-141.052,-17.7421,103.756,16,4,1,3,0,0,0
387,0,-141.052,-17.7421,103.756,15,6,3,3,0,0,0
388,0,-141.052,-17.7421,103.756,16,5,2,3,0,0,0
389,0,-141.052,-17.7421,103.756,15,5,2,3,0,0,0
390,0,-141.052,-17.7421,103.756,17,5,2,3,0,0,0
391,1,-105.874,-14.689,70.6106,16,5,2,3,0,0,0
392,1,-96.8972,-17.4308,71.2703,16,5,2,2,0,1,0
393,1,-91.9798,-17.4896,71.3579,17,5,2,3,0,0,0
394,1,-88.0271,-17.0467,70.7926,16,7,3,3,1,0,0
395,1,-83.4375,-17.1462,71.2182,16,5,2,2,0,0,1
396,1,-77.3083,-17.1025,71.7757,15,5,2,3,0,0,0
397,1,-69.5389,-17.3954,72.6827,16,5,2,3,0,0,0
398,1,-61.528,-17.5525,75.8546,16,4,1,3,0,0,0
399,1,-52.5369,-16.5933,76.576,16,6,2,3,0,0,1
400,1,-47.4469,-16.4489,75.9736,15,5,2,3,0,0,0
401,1,-47.0491,-17.2466,76.0725,17,5,1,4,0,0,0
402,1,-47.2592,-17.9797,75.2047,18,6,2,3,0,1,0
403,1,-43.1097,-17.1616,77.0206,16,5,2,3,0,0,0
404,1,-39.6854,-17.5715,77.4613,17,6,2,4,0,0,0
405,1,-33.9562,-17.5635,78.9668,17,4,1,3,0,0,0
406,1,-23.9862,-16.1044,81.1571,16,4,2,2,0,0,0
407,1,-14.3391,-16.87,82.1338,16,6,2,3,0,1,0
408,1,-5.69438,-18.0475,83.9345,21,5,2,2,1,0,0
409,1,3.95219,-17.6201,85.6168,16,4,2,2,0,0,0
410,1,13.0886,-17.4769,85.7494,15,6,2,3,1,0,0
411,1,24.4213,-16.9368,84.8924,16,5,2,2,0,0,1
412,1,30.4067,-16.8499,84.9913,14,5,2,3,0,0,0
413,1,36.5589,-15.7016,84.3238,17,5,2,2,0,0,1
414,1,40.0075,-16.8354,83.0776,17,7,2,4,1,0,0
415,1,43.7977,-16.0644,82.381,17,5,2,3,0,0,0
416,1,50.371,-17.3432,81.4866,16,5,2,3,0,0,0
