frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
334,0,183.496,183.496,183.496,149,70,43,25,0,0,0
335,0,183.496,183.496,183.496,147,70,43,24,0,0,0
336,0,183.496,183.496,183.496,146,72,43,27,0,0,0
337,0,183.496,183.496,183.496,148,70,43,25,0,0,0
338,0,183.496,183.496,183.496,149,73,43,28,0,0,0
339,0,183.496,183.496,183.496,147,70,43,25,0,0,0
340,0,183.496,183.496,183.496,147,69,43,24,0,0,0
341,0,183.496,183.496,183.496,146,71,43,25,0,0,0
342,0,183.496,183.496,183.496,148,70,43,25,0,0,0
343,0,183.496,183.496,183.496,149,72,43,27,0,0,0
344,0,183.496,183.496,183.496,144,70,43,25,0,0,0
345,0,183.496,183.496,183.496,144,70,43,25,0,0,0
346,0,183.496,183.496,183.496,141,71,43,26,0,0,0
347,0,183.496,183.496,183.496,144,71,43,25,0,0,0
348,0,183.496,183.496,183.496,144,71,43,26,0,0,0
349,1,106.164,106.164,106.164,142,80,44,25,0,2,6
350,1,96.0479,96.0479,96.0479,142,86,44,30,1,2,6
351,1,90.1215,90.1215,90.1215,140,86,44,30,1,2,7
352,1,86.4653,86.4653,86.4653,142,87,43,33,1,2,6
353,1,83.095,83.095,83.095,138,88,43,32,0,3,5
354,1,77.5826,77.5826,77.5826,138,80,43,26,1,2,6
355,1,70.5297,70.5297,70.5297,144,83,43,30,1,2,5
356,1,63.3334,63.3334,63.3334,140,79,43,26,1,2,5
357,1,52.9212,52.9212,52.9212,142,80,43,26,1,3,5
358,1,40.931,40.931,40.931,140,81,44,26,0,2,6
359,1,31.6538,31.6538,31.6538,143,81,43,27,1,2,6
360,1,21.7789,21.7789,21.7789,144,80,44,27,1,2,4
361,1,12.7647,12.7647,12.7647,143,80,43,29,0,2,3
362,1,3.42291,3.42291,3.42291,138,82,43,27,1,2,7
363,1,-2.92592,-2.92592,-2.92592,139,78,43,27,1,2,3
364,1,-11.3933,-11.3933,-11.3933,142,79,43,28,1,2,3
365,1,-21.259,-21.259,-21.259,144,80,43,28,1,2,4
366,1,-37.5247,-37.5247,-37.5247,143,80,44,28,0,3,3
367,1,-44.1258,-44.1258,-44.1258,141,78,43,27,1,2,3
368,1,-58.8435,-58.8435,-58.8435,140,81,44,29,1,2,3
369,1,-64.9304,-64.9304,-64.9304,140,80,44,28,0,3,3
370,1,-73.3581,-73.3581,-73.3581,142,80,43,29,1,2,3
371,1,-81.0384,-81.0384,-81.0384,143,80,43,29,1,2,3
372,1,-87.7776,-87.7776,-87.7776,144,78,43,28,0,2,3
373,1,-96.1826,-96.1826,-96.1826,142,80,43,29,1,2,3
374,1,-103.745,-103.745,-103.745,140,77,43,26,1,2,3
375,1,-111.815,-111.815,-111.815,138,77,43,25,0,2,4
376,1,-122.304,-122.304,-122.304,141,87,43,36,0,2,3
377,1,-131.774,-131.774,-131.774,140,77,44,25,1,2,3
